# time totalContactTime
1703.8000 2225.3000
1704.9000 2228.5000
1706.0000 2231.4000
1707.1000 2235.9000
1708.2000 2240.3000
1709.3000 2244.5000
1710.4000 2247.3000
1711.5000 2248.5000
1712.6000 2250.5000
1713.7000 2253.7000
1714.8000 2258.1000
1715.9000 2262.5000
1717.0000 2266.7000
1718.1000 2269.7000
1719.2000 2272.6000
1720.3000 2275.9000
1721.4000 2279.1000
1722.5000 2281.7000
1723.6000 2284.4000
1724.7000 2287.5000
1725.8000 2290.8000
1726.9000 2293.2000
1728.0000 2295.5000
1729.1000 2298.6000
1730.2000 2302.8000
1731.3000 2308.0000
1732.4000 2313.4000
1733.5000 2317.8000
1734.6000 2322.1000
1735.7000 2325.4000
1736.8000 2331.3000
1737.9000 2340.4000
1739.0000 2351.2000
1740.1000 2362.0000
1741.2000 2371.0000
1742.3000 2378.4000
1743.4000 2383.5000
1744.5000 2387.2000
1745.6000 2391.1000
1746.7000 2397.7000
1747.8000 2404.3000
1748.9000 2411.1000
1750.0000 2416.6000
1751.1000 2422.1000
1752.2000 2427.6000
1753.3000 2433.4000
1754.4000 2439.5000
1755.5000 2447.0000
1756.6000 2454.5000
1757.7000 2463.3000
1758.8000 2471.7000
1759.9000 2481.1000
1761.0000 2489.7000
1762.1000 2497.4000
1763.2000 2504.7000
1764.3000 2511.6000
1765.4000 2519.8000
1766.5000 2528.6000
1767.6000 2537.2000
1768.7000 2544.3000
1769.8000 2551.2000
1770.9000 2558.9000
1772.0000 2566.6000
1773.1000 2574.3000
1774.2000 2584.0000
1775.3000 2594.7000
1776.4000 2604.8000
1777.5000 2613.1000
1778.6000 2622.0000
1779.7000 2632.1000
1780.8000 2643.5000
1781.9000 2654.6000
1783.0000 2666.2000
1784.1000 2678.1000
1785.2000 2692.2000
1786.3000 2708.2000
1787.4000 2722.2000
1788.5000 2733.7000
1789.6000 2744.5000
1790.7000 2756.6000
1791.8000 2770.3000
1792.9000 2783.8000
1794.0000 2796.1000
1795.1000 2807.4000
1796.2000 2818.9000
1797.3000 2830.7000
1798.4000 2845.6000
1799.5000 2859.3000
1800.6000 2871.4000
1801.7000 2879.1000
1802.8000 2887.1000
1803.9000 2894.8000
1805.0000 2903.9000
1806.1000 2913.1000
1807.2000 2923.8000
1808.3000 2936.4000
1809.4000 2950.4000
1810.5000 2964.9000
1811.6000 2979.0000
1812.7000 2990.4000
1813.8000 2998.7000
1814.9000 3005.1000
1816.0000 3012.2000
1817.1000 3019.9000
1818.2000 3027.8000
1819.3000 3036.6000
1820.4000 3044.8000
1821.5000 3054.9000
1822.6000 3065.2000
1823.7000 3074.1000
1824.8000 3081.1000
1825.9000 3087.2000
1827.0000 3093.7000
1828.1000 3100.3000
1829.2000 3108.5000
1830.3000 3116.7000
1831.4000 3124.9000
1832.5000 3133.2000
1833.6000 3138.7000
1834.7000 3146.3000
1835.8000 3155.4000
1836.9000 3164.2000
1838.0000 3173.2000
