# time totalContactTime
599.6000 19652.7000
600.6000 19675.5000
601.6000 19698.3000
602.6000 19723.7000
603.6000 19750.7000
604.6000 19778.3000
605.6000 19807.0000
606.6000 19836.3000
607.6000 19865.5000
608.6000 19894.5000
609.6000 19923.5000
610.6000 19955.9000
611.6000 19988.1000
612.6000 20020.8000
613.6000 20052.7000
614.6000 20085.6000
615.6000 20118.6000
616.6000 20151.6000
617.6000 20183.0000
618.6000 20213.7000
619.6000 20244.7000
620.6000 20274.0000
621.6000 20304.0000
622.6000 20335.0000
623.6000 20365.2000
624.6000 20397.8000
625.6000 20429.8000
626.6000 20459.0000
627.6000 20487.8000
628.6000 20517.1000
629.6000 20548.3000
630.6000 20579.4000
631.6000 20610.1000
632.6000 20639.6000
633.6000 20669.4000
634.6000 20698.5000
635.6000 20729.0000
636.6000 20762.3000
637.6000 20798.1000
638.6000 20835.3000
639.6000 20874.4000
640.6000 20913.6000
641.6000 20955.2000
642.6000 20996.3000
643.6000 21035.9000
644.6000 21073.9000
645.6000 21112.7000
646.6000 21151.7000
647.6000 21189.1000
648.6000 21226.1000
649.6000 21260.4000
650.6000 21294.8000
651.6000 21329.7000
652.6000 21364.8000
653.6000 21400.2000
654.6000 21434.2000
655.6000 21468.3000
656.6000 21502.2000
657.6000 21534.7000
658.6000 21566.7000
659.6000 21598.6000
660.6000 21628.8000
661.6000 21658.1000
662.6000 21687.3000
663.6000 21717.7000
664.6000 21748.3000
665.6000 21779.1000
666.6000 21809.0000
667.6000 21840.0000
668.6000 21869.6000
669.6000 21899.6000
670.6000 21928.6000
671.6000 21959.7000
672.6000 21991.6000
673.6000 22022.5000
674.6000 22053.3000
675.6000 22083.9000
676.6000 22113.4000
677.6000 22140.7000
678.6000 22166.6000
679.6000 22192.2000
680.6000 22219.2000
681.6000 22246.9000
682.6000 22274.0000
683.6000 22302.3000
684.6000 22332.1000
685.6000 22361.4000
686.6000 22386.5000
687.6000 22410.9000
688.6000 22434.7000
689.6000 22459.5000
690.6000 22486.9000
691.6000 22515.7000
692.6000 22542.4000
693.6000 22566.8000
694.6000 22589.6000
695.6000 22612.6000
696.6000 22636.9000
697.6000 22661.5000
698.6000 22685.8000
699.6000 22711.2000
700.6000 22737.2000
701.6000 22762.7000
702.6000 22786.8000
703.6000 22808.3000
704.6000 22830.8000
705.6000 22856.1000
706.6000 22881.3000
707.6000 22906.1000
708.6000 22930.2000
709.6000 22955.7000
710.6000 22979.7000
711.6000 23003.8000
712.6000 23028.1000
713.6000 23053.1000
714.6000 23076.3000
715.6000 23098.2000
