# time totalContactTime
1667.5000 16550.3000
1668.6000 16577.3000
1669.7000 16603.7000
1670.8000 16630.6000
1671.9000 16657.9000
1673.0000 16684.8000
1674.1000 16712.3000
1675.2000 16741.3000
1676.3000 16770.9000
1677.4000 16801.1000
1678.5000 16831.2000
1679.6000 16858.5000
1680.7000 16885.4000
1681.8000 16914.3000
1682.9000 16945.1000
1684.0000 16977.0000
1685.1000 17008.9000
1686.2000 17041.9000
1687.3000 17076.0000
1688.4000 17111.0000
1689.5000 17145.9000
1690.6000 17182.5000
1691.7000 17222.8000
1692.8000 17263.6000
1693.9000 17306.3000
1695.0000 17347.9000
1696.1000 17387.0000
1697.2000 17425.5000
1698.3000 17462.4000
1699.4000 17500.6000
1700.5000 17539.1000
1701.6000 17577.6000
1702.7000 17617.7000
1703.8000 17658.5000
1704.9000 17699.8000
1706.0000 17743.1000
1707.1000 17785.5000
1708.2000 17827.7000
1709.3000 17869.8000
1710.4000 17911.9000
1711.5000 17954.9000
1712.6000 17999.0000
1713.7000 18043.5000
1714.8000 18088.5000
1715.9000 18131.9000
1717.0000 18174.5000
1718.1000 18218.4000
1719.2000 18263.2000
1720.3000 18308.5000
1721.4000 18352.0000
1722.5000 18394.6000
1723.6000 18437.9000
1724.7000 18483.3000
1725.8000 18526.2000
1726.9000 18567.5000
1728.0000 18606.5000
1729.1000 18646.4000
1730.2000 18687.5000
1731.3000 18729.0000
1732.4000 18770.8000
1733.5000 18813.7000
1734.6000 18858.0000
1735.7000 18902.2000
1736.8000 18947.6000
1737.9000 18995.0000
1739.0000 19044.9000
1740.1000 19093.9000
1741.2000 19143.7000
1742.3000 19195.8000
1743.4000 19248.8000
1744.5000 19300.1000
1745.6000 19351.0000
1746.7000 19400.8000
1747.8000 19450.6000
1748.9000 19498.4000
1750.0000 19546.5000
1751.1000 19593.2000
1752.2000 19641.0000
1753.3000 19690.5000
1754.4000 19740.6000
1755.5000 19788.0000
1756.6000 19833.8000
1757.7000 19878.4000
1758.8000 19922.9000
1759.9000 19968.8000
1761.0000 20015.0000
1762.1000 20062.0000
1763.2000 20107.5000
1764.3000 20152.6000
1765.4000 20197.4000
1766.5000 20242.1000
1767.6000 20287.5000
1768.7000 20335.6000
1769.8000 20383.7000
1770.9000 20434.6000
1772.0000 20486.3000
1773.1000 20539.4000
1774.2000 20597.4000
1775.3000 20658.8000
1776.4000 20720.9000
1777.5000 20779.3000
1778.6000 20835.2000
1779.7000 20891.4000
1780.8000 20948.4000
1781.9000 21005.7000
1783.0000 21064.6000
1784.1000 21127.3000
1785.2000 21191.3000
1786.3000 21255.6000
1787.4000 21322.8000
1788.5000 21391.8000
1789.6000 21461.4000
1790.7000 21530.4000
1791.8000 21598.2000
1792.9000 21665.1000
1794.0000 21738.3000
1795.1000 21811.2000
1796.2000 21881.5000
1797.3000 21953.9000
1798.4000 22025.1000
1799.5000 22095.9000
1800.6000 22165.0000
1801.7000 22231.9000
1802.8000 22299.4000
1803.9000 22365.0000
1805.0000 22428.3000
1806.1000 22489.2000
1807.2000 22548.0000
1808.3000 22604.4000
1809.4000 22658.2000
1810.5000 22711.6000
1811.6000 22764.6000
1812.7000 22816.0000
1813.8000 22866.5000
1814.9000 22918.4000
1816.0000 22969.7000
1817.1000 23020.5000
1818.2000 23071.1000
1819.3000 23120.5000
1820.4000 23168.9000
1821.5000 23216.3000
1822.6000 23263.7000
1823.7000 23311.1000
1824.8000 23355.7000
1825.9000 23400.9000
1827.0000 23446.8000
1828.1000 23492.8000
1829.2000 23538.3000
1830.3000 23582.3000
1831.4000 23626.2000
1832.5000 23669.5000
1833.6000 23714.8000
1834.7000 23759.9000
1835.8000 23805.5000
1836.9000 23852.3000
1838.0000 23898.3000
1839.1000 23946.4000
1840.2000 23995.0000
1841.3000 24044.8000
1842.4000 24098.4000
1843.5000 24152.8000
1844.6000 24206.2000
1845.7000 24261.0000
1846.8000 24315.2000
1847.9000 24371.1000
1849.0000 24427.4000
1850.1000 24482.9000
1851.2000 24540.2000
1852.3000 24598.0000
1853.4000 24653.2000
1854.5000 24706.6000
1855.6000 24759.9000
1856.7000 24813.1000
1857.8000 24865.9000
1858.9000 24920.8000
1860.0000 24977.7000
1861.1000 25031.1000
1862.2000 25083.5000
1863.3000 25137.3000
1864.4000 25190.0000
1865.5000 25241.7000
1866.6000 25293.8000
1867.7000 25344.3000
1868.8000 25396.5000
1869.9000 25448.7000
1871.0000 25501.0000
1872.1000 25552.2000
1873.2000 25601.7000
1874.3000 25649.0000
1875.4000 25694.5000
1876.5000 25738.1000
1877.6000 25779.0000
1878.7000 25821.4000
1879.8000 25859.7000
1880.9000 25897.9000
1882.0000 25939.2000
1883.1000 25979.9000
1884.2000 26019.3000
1885.3000 26058.9000
1886.4000 26097.0000
1887.5000 26132.3000
1888.6000 26163.5000
1889.7000 26195.2000
1890.8000 26227.7000
1891.9000 26260.7000
1893.0000 26293.0000
1894.1000 26324.6000
1895.2000 26355.9000
1896.3000 26388.4000
1897.4000 26422.0000
1898.5000 26456.8000
1899.6000 26490.9000
1900.7000 26524.4000
1901.8000 26557.6000
1902.9000 26589.2000
1904.0000 26620.5000
1905.1000 26651.5000
1906.2000 26683.4000
1907.3000 26715.3000
1908.4000 26747.2000
1909.5000 26779.4000
1910.6000 26812.1000
1911.7000 26844.6000
1912.8000 26877.8000
1913.9000 26912.0000
1915.0000 26945.5000
1916.1000 26979.3000
1917.2000 27016.4000
1918.3000 27053.6000
1919.4000 27092.8000
1920.5000 27130.8000
1921.6000 27170.4000
1922.7000 27210.0000
1923.8000 27250.2000
1924.9000 27287.3000
1926.0000 27319.8000
1927.1000 27354.0000
1928.2000 27389.6000
1929.3000 27427.5000
1930.4000 27466.7000
1931.5000 27504.1000
1932.6000 27541.0000
1933.7000 27578.6000
1934.8000 27616.8000
1935.9000 27654.6000
1937.0000 27694.2000
1938.1000 27733.5000
1939.2000 27771.8000
1940.3000 27810.1000
1941.4000 27848.7000
1942.5000 27887.2000
1943.6000 27925.8000
1944.7000 27964.6000
1945.8000 28005.0000
1946.9000 28044.4000
1948.0000 28083.1000
1949.1000 28120.0000
1950.2000 28156.3000
1951.3000 28194.3000
1952.4000 28232.4000
1953.5000 28269.1000
1954.6000 28306.0000
1955.7000 28341.6000
1956.8000 28378.7000
1957.9000 28417.2000
1959.0000 28456.0000
1960.1000 28494.3000
1961.2000 28530.6000
1962.3000 28568.0000
1963.4000 28604.4000
1964.5000 28639.7000
1965.6000 28677.8000
1966.7000 28714.4000
1967.8000 28750.5000
1968.9000 28783.8000
1970.0000 28815.4000
1971.1000 28847.3000
1972.2000 28880.8000
1973.3000 28915.6000
1974.4000 28950.9000
1975.5000 28985.5000
1976.6000 29019.0000
1977.7000 29051.0000
1978.8000 29082.3000
1979.9000 29113.9000
1981.0000 29147.1000
1982.1000 29179.7000
1983.2000 29213.3000
1984.3000 29248.0000
1985.4000 29284.2000
1986.5000 29321.6000
1987.6000 29360.2000
1988.7000 29403.1000
1989.8000 29447.3000
1990.9000 29491.6000
1992.0000 29536.6000
1993.1000 29583.8000
1994.2000 29633.1000
1995.3000 29685.1000
1996.4000 29739.9000
1997.5000 29795.5000
1998.6000 29847.5000
1999.7000 29899.8000
2000.8000 29951.8000
2001.9000 30002.3000
2003.0000 30050.5000
2004.1000 30096.8000
2005.2000 30140.9000
2006.3000 30183.5000
2007.4000 30223.2000
2008.5000 30261.3000
2009.6000 30299.8000
2010.7000 30337.8000
2011.8000 30374.1000
2012.9000 30408.2000
2014.0000 30443.0000
2015.1000 30477.1000
2016.2000 30513.3000
2017.3000 30550.0000
2018.4000 30586.0000
2019.5000 30621.2000
2020.6000 30654.5000
2021.7000 30687.4000
2022.8000 30721.5000
2023.9000 30755.2000
2025.0000 30790.2000
2026.1000 30824.8000
